person_id,display_last_comma_first,display_first_last,rosterstatus,from_year,to_year,playercode,team_id,team_city,team_name,team_abbreviation,team_code,games_played_flag,name,lower_name
1729,"Davis, Ricky",Ricky Davis,FALSE,1998,2009,ricky_davis,0,,,,,Y,Ricky Davis,ricky davis
203495,"Ledo, Ricky",Ricky Ledo,FALSE,2013,2014,ricky_ledo,0,,,,,Y,Ricky Ledo,ricky ledo
894,"Pierce, Ricky",Ricky Pierce,FALSE,1982,1997,ricky_pierce,0,,,,,Y,Ricky Pierce,ricky pierce
201937,"Rubio, Ricky",Ricky Rubio,TRUE,2011,2018,ricky_rubio,1610612750,Minnesota,Timberwolves,MIN,timberwolves,Y,Ricky Rubio,ricky rubio
22,"Smits, Rik",Rik Smits,FALSE,1988,1999,rik_smits,0,,,,,Y,Rik Smits,rik smits
1626154,"Hunter, RJ",RJ Hunter,TRUE,2015,2018,rj_hunter,1610612738,Boston,Celtics,BOS,celtics,Y,RJ Hunter,rj hunter
201633,"Kurz, Rob",Rob Kurz,FALSE,2008,2009,rob_kurz,0,,,,,Y,Rob Kurz,rob kurz
203133,"Hummel, Robbie",Robbie Hummel,FALSE,2013,2014,robbie_hummel,0,,,,,Y,Robbie Hummel,robbie hummel
2425,"Archibald, Robert",Robert Archibald,FALSE,2002,2003,robert_archibald,0,,,,,Y,Robert Archibald,robert archibald
203496,"Covington, Robert",Robert Covington,TRUE,2013,2018,robert_covington,1610612755,Philadelphia,76ers,PHI,sixers,Y,Robert Covington,robert covington
200823,"Hite, Robert",Robert Hite,FALSE,2006,2006,robert_hite,0,,,,,Y,Robert Hite,robert hite
109,"Horry, Robert",Robert Horry,FALSE,1992,2007,robert_horry,0,,,,,Y,Robert Horry,robert horry
123,"Pack, Robert",Robert Pack,FALSE,1991,2003,robert_pack,0,,,,,Y,Robert Pack,robert pack
305,"Parish, Robert",Robert Parish,FALSE,1976,1996,robert_parish,0,,,,,Y,Robert Parish,robert parish
203135,"Sacre, Robert",Robert Sacre,TRUE,2012,2015,robert_sacre,1610612747,Los Angeles,Lakers,LAL,lakers,Y,Robert Sacre,robert sacre
2741,"Swift, Robert",Robert Swift,FALSE,2004,2008,robert_swift,0,,,,,Y,Robert Swift,robert swift
1714,"Traylor, Robert",Robert Traylor,FALSE,1998,2004,robert_traylor,0,,,,,Y,Robert Traylor,robert traylor
201987,"Vaden, Robert",Robert Vaden,FALSE,2010,2010,robert_vaden,0,,,,,N,Robert Vaden,robert vaden
438,"Werdann, Robert",Robert Werdann,FALSE,1992,1996,robert_werdann,0,,,,,Y,Robert Werdann,robert werdann
101156,"Whaley, Robert",Robert Whaley,FALSE,2005,2005,robert_whaley,0,,,,,Y,Robert Whaley,robert whaley
1629057,"Williams III, Robert",Robert Williams III,FALSE,2018,2018,robert_williams,0,,,,,Y,Robert Williams III,robert williams iii
201577,"Lopez, Robin",Robin Lopez,TRUE,2008,2018,robin_lopez,1610612752,New York,Knicks,NYK,knicks,Y,Robin Lopez,robin lopez
393,"Strickland, Rod",Rod Strickland,FALSE,1988,2004,rod_strickland,0,,,,,Y,Rod Strickland,rod strickland
1629066,"Kurucs, Rodions",Rodions Kurucs,FALSE,2018,2018,rodions_kurucs,0,,,,,Y,Rodions Kurucs,rodions kurucs
1934,"Buford, Rodney",Rodney Buford,FALSE,1999,2004,rodney_buford,0,,,,,Y,Rodney Buford,rodney buford
200760,"Carney, Rodney",Rodney Carney,FALSE,2006,2010,rodney_carney,0,,,,,Y,Rodney Carney,rodney carney
203918,"Hood, Rodney",Rodney Hood,TRUE,2014,2018,rodney_hood,1610612762,Utah,Jazz,UTA,jazz,Y,Rodney Hood,rodney hood
203585,"McGruder, Rodney",Rodney McGruder,FALSE,2016,2018,rodney_mcgruder,0,,,,,Y,Rodney McGruder,rodney mcgruder
1628681,"Purvis, Rodney",Rodney Purvis,FALSE,2017,2017,rodney_purvis,0,,,,,Y,Rodney Purvis,rodney purvis
915,"Rogers, Rodney",Rodney Rogers,FALSE,1993,2004,rodney_rogers,0,,,,,Y,Rodney Rogers,rodney rogers
201155,"Stuckey, Rodney",Rodney Stuckey,TRUE,2007,2016,rodney_stuckey,1610612754,Indiana,Pacers,IND,pacers,Y,Rodney Stuckey,rodney stuckey
2206,"White, Rodney",Rodney White,FALSE,2001,2004,rodney_white,0,,,,,Y,Rodney White,rodney white
1518,"Rhodes, Rodrick",Rodrick Rhodes,FALSE,1997,1999,rodrick_rhodes,0,,,,,Y,Rodrick Rhodes,rodrick rhodes
201958,"Beaubois, Rodrigue",Rodrigue Beaubois,FALSE,2009,2012,rodrigue_beaubois,0,,,,,Y,Rodrigue Beaubois,rodrigue beaubois
